苹果园 古城
古城 八角游乐园
八角游乐园 八宝山
八宝山 玉泉路
玉泉路 五棵松
五棵松 万寿路
万寿路 公主坟
公主坟 军事博物馆
军事博物馆 木樨地
木樨地 南礼士路
南礼士路 复兴门
复兴门 西单
西单 天安门西
天安门西 天安门东
天安门东 王府井
王府井 东单
东单 建国门
建国门 永安里
永安里 国贸
国贸 大望路
大望路 四惠
四惠 四惠东
积水潭 鼓楼大街
鼓楼大街 安定门
安定门 雍和宫
雍和宫 东直门
东直门 东四十条
东四十条 朝阳门
朝阳门 建国门
建国门 北京站
北京站 崇文门
崇文门 前门
前门 和平门
和平门 宣武门
宣武门 长椿街
长椿街 复兴门
复兴门 阜成门
阜成门 车公庄
车公庄 西直门
西直门 积水潭
安河桥北 北宫门
北宫门 西苑
西苑 圆明园
圆明园 北京大学东门
北京大学东门 中关村
中关村 海淀黄庄
海淀黄庄 人民大学
人民大学 魏公村
魏公村 国家图书馆
国家图书馆 动物园
动物园 西直门
西直门 新街口
新街口 平安里
平安里 西四
西四 灵境胡同
灵境胡同 西单
西单 宣武门
宣武门 菜市口
菜市口 陶然亭
陶然亭 北京南站
北京南站 马家堡
马家堡 角门西
角门西 公益西桥
公益西桥 新宫
新宫 西红门
西红门 高米店北
高米店北 高米店南
高米店南 枣园
枣园 清源路
清源路 黄村西大街
黄村西大街 黄村火车站
黄村火车站 义和庄
义和庄 生物医药基地
生物医药基地 天宫院
宋家庄 刘家窑
刘家窑 蒲黄榆
蒲黄榆 天坛东门
天坛东门 磁器口
磁器口 崇文门
崇文门 东单
东单 灯市口
灯市口 东四
东四 张自忠路
张自忠路 北新桥
北新桥 雍和宫
雍和宫 和平里北街
和平里北街 和平西桥
和平西桥 惠新西街南口
惠新西街南口 惠新西街北口
惠新西街北口 大屯路东
大屯路东 北苑路北
北苑路北 立水桥南
立水桥南 立水桥
立水桥 天通苑南
天通苑南 天通苑
天通苑 天通苑北
潞城 东夏园
东夏园 郝家府
郝家府 北运河东
北运河东 北运河西
北运河西 通州北关
通州北关 物资学院路
物资学院路 草房
草房 常营
常营 黄渠
黄渠 褡裢坡
褡裢坡 青年路
青年路 十里堡
十里堡 金台路
金台路 呼家楼
呼家楼 东大桥
东大桥 朝阳门
朝阳门 东四
东四 南锣鼓巷
南锣鼓巷 北海北
北海北 平安里
平安里 车公庄
车公庄 车公庄西
车公庄西 白石桥南
白石桥南 花园桥
花园桥 慈寿寺
慈寿寺 海淀五路居
海淀五路居 田村
田村 廖公庄
廖公庄 西黄村
西黄村 杨庄
杨庄 金安桥
焦化厂 双合
双合 垡头
垡头 欢乐谷景区
欢乐谷景区 南楼梓庄
南楼梓庄 化工
化工 百子湾
百子湾 大郊亭
大郊亭 九龙山
九龙山 广渠门外
广渠门外 广渠门内
广渠门内 磁器口
磁器口 桥湾
桥湾 珠市口
珠市口 虎坊桥
虎坊桥 菜市口
菜市口 广安门内
广安门内 达官营
达官营 湾子
湾子 北京西站
中国美术馆 南锣鼓巷
南锣鼓巷 什刹海
什刹海 鼓楼大街
鼓楼大街 安德里北街
安德里北街 安华桥
安华桥 北土城
北土城 奥体中心
奥体中心 奥林匹克公园
奥林匹克公园 森林公园南门
森林公园南门 林萃桥
林萃桥 永泰庄
永泰庄 西小口
西小口 育新
育新 霍营
霍营 回龙观东大街
回龙观东大街 平西府
平西府 育知路
育知路 朱辛庄
珠市口 天桥
天桥 永定门外
永定门外 木樨园
木樨园 海户屯
海户屯 大红门南
大红门南 和义
和义 东高地
东高地 火箭万源
火箭万源 五福堂
五福堂 德茂
德茂 瀛海
国家图书馆 白石桥南
白石桥南 白堆子
白堆子 军事博物馆
军事博物馆 北京西站
北京西站 六里桥东
六里桥东 六里桥
六里桥 七里庄
七里庄 丰台东大街
丰台东大街 丰台南路
丰台南路 科怡路
科怡路 丰台科技园
丰台科技园 郭公庄
巴沟 苏州街
苏州街 海淀黄庄
海淀黄庄 知春里
知春里 知春路
知春路 西土城
西土城 牡丹园
牡丹园 健德门
健德门 北土城
北土城 安贞门
安贞门 惠新西街南口
惠新西街南口 芍药居
芍药居 太阳宫
太阳宫 三元桥
三元桥 亮马桥
亮马桥 农业展览馆
农业展览馆 团结湖
团结湖 呼家楼
呼家楼 金台夕照
金台夕照 国贸
国贸 双并
双并 劲松
劲松 潘家园
潘家园 十里河
十里河 分钟寺
分钟寺 成寿寺
成寿寺 朱家庄
朱家庄 石榴庄
石榴庄 大红门
大红门 角门东
角门东 角门西
角门西 草桥
草桥 纪家庙
纪家庙 首经贸
首经贸 丰台站
丰台站 泥洼
泥洼 西局
西局 六里桥
六里桥 莲花桥
莲花桥 公主坟
公主坟 西钓鱼台
西钓鱼台 慈寿寺
慈寿寺 车道沟
车道沟 长春桥
长春桥 火器营
火器营 巴沟
大兴机场 大兴新城
大兴新城 草桥
东直门 柳芳
柳芳 光熙门
光熙门 芍药居
芍药居 望京西
望京西 北苑
北苑 立水桥
立水桥 霍营
霍营 回龙观
回龙观 龙泽
龙泽 西二旗
西二旗 上地
上地 五道口
五道口 知春路
知春路 大钟寺
大钟寺 西直门
张郭庄 园博园
园博园 大瓦窑
大瓦窑 郭庄子
郭庄子 大井
大井 七里庄
七里庄 西局
北京南站 永定门外
永定门外 景泰
